qid,top5_jaccard,same_top5_set,intersection_count,replacement_count,b0_unique_demand_count,d0_unique_demand_count,delta_unique_demand_count,b0_mean_relevance,d0_mean_relevance,b0_mean_reranker_score,d0_mean_reranker_score,b0_intra_similarity,d0_intra_similarity,new_docs_demands,replaced_docs_demands,b0_cov_D01_symptom_course,d0_cov_D01_symptom_course,b0_cov_D02_cause_diagnosis,d0_cov_D02_cause_diagnosis,b0_cov_D03_treatment_medication,d0_cov_D03_treatment_medication,b0_cov_D04_population_history,d0_cov_D04_population_history,b0_cov_D05_care_emergency,d0_cov_D05_care_emergency,b0_cov_D06_mental_safety,d0_cov_D06_mental_safety
15075860,0.6667,no,4,1,3,3,0,1.8,1.4,0.7926,0.7553,0.0762,0.0878,D02_cause_diagnosis|D03_treatment_medication,,1,1,1,1,1,1,0,0,0,0,0,0
15159907,0.6667,no,4,1,4,4,0,1.6,1.4,0.9719,0.9617,0.2288,0.3492,D03_treatment_medication|D04_population_history,D03_treatment_medication,1,1,1,1,1,1,1,1,0,0,0,0
15210186,0.4286,no,3,2,5,5,0,2.4,2.8,0.9784,0.9579,0.1434,0.0629,D01_symptom_course|D03_treatment_medication|D04_population_history,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,1,1,1,1,1,1,1,1,0,0
15409243,0.4286,no,3,2,3,3,0,1.6,2.2,0.6303,0.5854,0.092,0.0866,D03_treatment_medication,D01_symptom_course|D03_treatment_medication|D05_care_emergency,1,1,0,0,1,1,0,0,1,1,0,0
15498904,0.4286,no,3,2,2,2,0,1.6,1.2,0.9823,0.9497,0.1602,0.1491,D01_symptom_course|D03_treatment_medication,D03_treatment_medication,1,1,0,0,1,1,0,0,0,0,0,0
16167880,1.0,yes,5,0,5,5,0,3.0,3.0,0.8206,0.8206,0.1124,0.1124,,,1,1,1,1,1,1,1,1,1,1,0,0
16772805,0.6667,no,4,1,4,4,0,3.0,2.6,0.9955,0.9933,0.1837,0.1745,D01_symptom_course|D03_treatment_medication|D04_population_history,D04_population_history,1,1,1,1,1,1,1,1,0,0,0,0
18460909,0.6667,no,4,1,4,4,0,3.2,3.0,0.7744,0.7616,0.1214,0.1162,D01_symptom_course|D02_cause_diagnosis,D05_care_emergency,1,1,1,1,1,1,0,0,1,1,0,0
20134016,1.0,yes,5,0,4,4,0,2.6,2.6,0.6971,0.6971,0.1426,0.1426,,,1,1,1,1,1,1,0,0,1,1,0,0
21742660,1.0,yes,5,0,4,4,0,1.6,1.6,0.9919,0.9919,0.1908,0.1908,,,1,1,0,0,1,1,1,1,1,1,0,0
22268993,0.4286,no,3,2,4,4,0,2.8,2.6,0.9294,0.9102,0.0716,0.1069,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,0,0,1,1,0,0
23024787,0.4286,no,3,2,5,5,0,2.2,2.0,0.9892,0.9792,0.1075,0.096,D01_symptom_course|D03_treatment_medication|D04_population_history,D04_population_history|D05_care_emergency,1,1,1,1,1,1,1,1,1,1,0,0
2380293,1.0,yes,5,0,2,2,0,1.0,1.0,0.9881,0.9881,0.0651,0.0651,,,1,1,0,0,1,1,0,0,0,0,0,0
24098670,0.25,no,2,3,5,5,0,4.4,2.6,0.9991,0.9902,0.3661,0.5252,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,D01_symptom_course|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,1,1,1,1,1,1,1,1,0,0
25971374,1.0,yes,5,0,4,4,0,1.6,1.6,0.9234,0.9234,0.1215,0.1215,,,1,1,1,1,1,1,1,1,0,0,0,0
27241031,0.6667,no,4,1,4,5,1,3.0,3.0,0.9953,0.9938,0.2366,0.2158,D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history,0,1,1,1,1,1,1,1,1,1,0,0
28208243,0.6667,no,4,1,5,5,0,2.6,2.4,0.9758,0.9684,0.2793,0.143,D01_symptom_course|D03_treatment_medication,D03_treatment_medication,1,1,1,1,1,1,1,1,1,1,0,0
30560202,0.6667,no,4,1,5,5,0,3.8,4.0,0.979,0.9587,0.0822,0.0907,D01_symptom_course|D02_cause_diagnosis|D04_population_history,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history,1,1,1,1,1,1,1,1,1,1,0,0
30718273,0.6667,no,4,1,3,4,1,2.0,2.2,0.7801,0.7131,0.4941,0.4776,D01_symptom_course|D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis|D05_care_emergency,1,1,1,1,1,1,0,0,0,1,0,0
30783696,0.4286,no,3,2,4,5,1,2.8,3.4,0.9952,0.9879,0.1601,0.0986,D02_cause_diagnosis|D03_treatment_medication|D04_population_history,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history,0,1,1,1,1,1,1,1,1,1,0,0
3263110,0.6667,no,4,1,5,5,0,4.0,3.6,0.9792,0.976,0.0862,0.0844,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history,D03_treatment_medication|D04_population_history,1,1,1,1,1,1,1,1,1,1,0,0
384814,0.4286,no,3,2,3,4,1,1.4,1.6,0.9846,0.9709,0.0796,0.0701,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,1,1,1,1,1,1,0,0,0,1,0,0
38793524,0.4286,no,3,2,4,4,0,2.8,2.2,0.9111,0.8641,0.0825,0.1459,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis,1,1,1,1,1,1,0,0,1,1,0,0
38916214,0.6667,no,4,1,2,2,0,1.0,0.8,0.9955,0.9899,0.5176,0.7924,D01_symptom_course|D02_cause_diagnosis,D02_cause_diagnosis,1,1,1,1,0,0,0,0,0,0,0,0
40630460,0.4286,no,3,2,4,4,0,3.0,2.8,0.9972,0.987,0.3481,0.1584,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,0,0,1,1,0,0
407461,0.6667,no,4,1,3,3,0,2.2,1.8,0.997,0.9675,0.3265,0.2581,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D02_cause_diagnosis,1,1,1,1,1,1,0,0,0,0,0,0
40982502,1.0,yes,5,0,1,1,0,0.6,0.6,0.1231,0.1231,0.1669,0.1669,,,0,0,0,0,0,0,0,0,1,1,0,0
426293,0.6667,no,4,1,3,3,0,2.2,2.0,0.9896,0.9892,0.1348,0.1333,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D01_symptom_course|D03_treatment_medication,1,1,1,1,1,1,0,0,0,0,0,0
50132428,0.6667,no,4,1,3,4,1,1.6,1.4,0.3375,0.2914,0.0861,0.0634,D02_cause_diagnosis|D03_treatment_medication,D04_population_history,1,1,1,1,1,1,0,1,0,0,0,0
51356377,0.6667,no,4,1,5,5,0,2.8,2.4,0.923,0.9084,0.0772,0.0839,D01_symptom_course|D03_treatment_medication|D04_population_history,D03_treatment_medication,1,1,1,1,1,1,1,1,1,1,0,0
55806671,0.6667,no,4,1,4,4,0,2.2,1.8,0.9524,0.908,0.1065,0.1059,D02_cause_diagnosis|D05_care_emergency,,1,1,1,1,1,1,0,0,1,1,0,0
57171409,0.25,no,2,3,5,5,0,3.4,2.6,0.9494,0.9209,0.0844,0.0585,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,1,1,1,1,1,1,1,1,0,0
5955652,0.6667,no,4,1,4,4,0,2.0,1.6,0.9139,0.907,0.1016,0.1125,D02_cause_diagnosis|D03_treatment_medication|D04_population_history,D04_population_history,0,0,1,1,1,1,1,1,1,1,0,0
61196289,1.0,yes,5,0,4,4,0,2.6,2.6,0.3819,0.3819,0.1435,0.1435,,,1,1,1,1,1,1,0,0,1,1,0,0
61377518,0.4286,no,3,2,4,5,1,2.8,3.6,0.948,0.9131,0.0874,0.1207,D03_treatment_medication|D04_population_history,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,0,1,1,1,1,1,1,1,1,1,0,0
64037699,0.6667,no,4,1,5,5,0,4.4,4.2,0.976,0.9751,0.099,0.1035,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency|D06_mental_safety,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D06_mental_safety,1,1,1,1,1,1,0,0,1,1,1,1
64469867,0.4286,no,3,2,5,5,0,3.6,3.0,0.9985,0.9913,0.352,0.2706,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis,1,1,1,1,1,1,1,1,1,1,0,0
64487599,0.6667,no,4,1,1,2,1,0.4,0.4,0.9925,0.977,0.1056,0.0876,D01_symptom_course,D05_care_emergency,1,1,0,0,0,0,0,0,0,1,0,0
64528472,1.0,yes,5,0,1,1,0,0.2,0.2,0.4558,0.4558,0.4276,0.4276,,,1,1,0,0,0,0,0,0,0,0,0,0
64802654,0.4286,no,3,2,2,2,0,1.6,1.2,0.9865,0.9758,0.617,0.5561,D01_symptom_course|D05_care_emergency,D01_symptom_course,1,1,0,0,0,0,0,0,1,1,0,0
65080497,0.6667,no,4,1,2,2,0,0.8,0.6,0.9967,0.9965,0.8471,0.5196,D01_symptom_course,,1,1,0,0,0,0,0,0,1,1,0,0
65684910,0.4286,no,3,2,3,4,1,2.2,2.2,0.9989,0.9515,0.5391,0.306,D01_symptom_course|D03_treatment_medication|D04_population_history,D01_symptom_course|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,0,0,1,1,1,1,0,1,0,0
66289847,0.4286,no,3,2,4,4,0,2.6,2.4,0.999,0.9909,0.8551,0.8588,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,1,1,1,1,1,1,0,0,1,1,0,0
66299022,0.6667,no,4,1,5,5,0,3.0,2.8,0.9177,0.9041,0.3092,0.1745,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,1,1,1,1,0,0
66349812,1.0,yes,5,0,4,4,0,1.6,1.6,0.8001,0.8001,0.1488,0.1488,,,1,1,1,1,1,1,0,0,1,1,0,0
66379798,0.6667,no,4,1,5,5,0,2.8,2.4,0.9928,0.989,0.163,0.0876,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D05_care_emergency,D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,1,1,1,1,0,0
6779973,0.25,no,2,3,5,5,0,2.2,2.2,0.9903,0.965,0.1135,0.1753,D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication|D04_population_history|D05_care_emergency,1,1,1,1,1,1,1,1,1,1,0,0
8174063,0.4286,no,3,2,2,2,0,2.0,1.2,0.97,0.885,0.1963,0.0439,D01_symptom_course|D03_treatment_medication,,1,1,0,0,1,1,0,0,0,0,0,0
9472291,0.6667,no,4,1,5,5,0,2.4,2.8,0.9919,0.9917,0.1291,0.1054,D03_treatment_medication,D01_symptom_course|D02_cause_diagnosis|D03_treatment_medication,1,1,1,1,1,1,1,1,1,1,0,0
