split,qid,method,k,lambda,selected_doc_ids,demand_cov_at_k,ndcg_at_k,official_ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,full_query_coverage,risk_demand_coverage,has_risk_demand
formal_train,1000761,MMR,7,0.60000000,WMA_b703a00296735980|108852|WMA_76cf52bc0179748c|WMA_72029596e107c171|WMA_fe57955f592e96c5|145755|WMA_fa04e7ef7fa8e6d3,1.00000000,1.00000000,0.80069377,2,2.00000000,0.85021617,0.15574361,1.00000000,1,1,1
formal_train,10010888,B0,3,,WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a,1.00000000,1.00000000,0.46900009,3,2.00000000,0.99981731,0.15325644,0.50000000,1,0,0
formal_train,10010888,D0,3,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70,1.00000000,1.00000000,0.46900009,3,2.00000000,0.99981731,0.15325644,0.50000000,1,0,0
formal_train,10010888,D1,3,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70,1.00000000,1.00000000,0.46900009,3,2.00000000,0.99981731,0.15325644,0.50000000,1,0,0
formal_train,10010888,D2,3,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8,1.00000000,1.00000000,0.46900009,3,2.00000000,0.99978042,0.14208958,0.77777778,1,0,0
formal_train,10010888,D3_TFIDF,3,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8,1.00000000,1.00000000,0.46900009,3,2.00000000,0.99978042,0.14208958,0.77777778,1,0,0
formal_train,10010888,MMR,3,0.60000000,WMA_ac9c95d776198a70|56547|WMA_5999899a94dbb80a,0.66666667,1.00000000,0.46900009,2,2.00000000,0.99956783,0.06919735,0.66666667,0,0,0
formal_train,10010888,B0,5,,WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_d62abdf149c552b3|56547,1.00000000,1.00000000,0.64893158,3,2.00000000,0.99963574,0.11412846,0.68333333,1,0,0
formal_train,10010888,D0,5,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70|WMA_d62abdf149c552b3|56547,1.00000000,1.00000000,0.64893158,3,2.00000000,0.99963574,0.11412846,0.68333333,1,0,0
formal_train,10010888,D1,5,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70|WMA_d62abdf149c552b3|56547,1.00000000,1.00000000,0.64893158,3,2.00000000,0.99963574,0.11412846,0.68333333,1,0,0
formal_train,10010888,D2,5,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c85c54d90ab5f,1.00000000,1.00000000,0.64893158,3,2.00000000,0.98338134,0.17331216,0.68333333,1,0,0
formal_train,10010888,D3_TFIDF,5,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c85c54d90ab5f,1.00000000,1.00000000,0.64893158,3,2.00000000,0.98338134,0.17331216,0.68333333,1,0,0
formal_train,10010888,MMR,5,0.60000000,WMA_ac9c95d776198a70|56547|WMA_5999899a94dbb80a|WMA_728aed79d4faf8dd|WMA_488b25f9c874afd8,1.00000000,1.00000000,0.64893158,3,2.00000000,0.99946258,0.12286407,0.68333333,1,0,0
formal_train,10010888,B0,7,,WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_d62abdf149c552b3|56547|WMA_82e5eb790902e77c|WMA_728aed79d4faf8dd,1.00000000,1.00000000,0.80069377,3,2.00000000,0.99943170,0.15362370,0.76984127,1,0,0
formal_train,10010888,D0,7,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70|WMA_d62abdf149c552b3|56547|WMA_82e5eb790902e77c|WMA_728aed79d4faf8dd,1.00000000,1.00000000,0.80069377,3,2.00000000,0.99943170,0.15362370,0.76984127,1,0,0
formal_train,10010888,D1,7,,WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c95d776198a70|WMA_d62abdf149c552b3|56547|WMA_82e5eb790902e77c|WMA_728aed79d4faf8dd,1.00000000,1.00000000,0.80069377,3,2.00000000,0.99943170,0.15362370,0.76984127,1,0,0
formal_train,10010888,D2,7,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c85c54d90ab5f|WMA_170ea3dbdf4cd17d|WMA_ecbd8cd6dda9788c,1.00000000,1.00000000,0.80069377,3,2.00000000,0.96228918,0.11345045,0.71428571,1,0,0
formal_train,10010888,D3_TFIDF,7,,WMA_d62abdf149c552b3|WMA_ac9c95d776198a70|WMA_488b25f9c874afd8|WMA_5999899a94dbb80a|WMA_ac9c85c54d90ab5f|WMA_170ea3dbdf4cd17d|WMA_ecbd8cd6dda9788c,1.00000000,1.00000000,0.80069377,3,2.00000000,0.96228918,0.11345045,0.71428571,1,0,0
formal_train,10010888,MMR,7,0.60000000,WMA_ac9c95d776198a70|56547|WMA_5999899a94dbb80a|WMA_728aed79d4faf8dd|WMA_488b25f9c874afd8|WMA_170ea3dbdf4cd17d|WMA_d62abdf149c552b3,1.00000000,1.00000000,0.80069377,3,2.00000000,0.98723681,0.11739726,0.71428571,1,0,0
formal_train,10010890,B0,3,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903,1.00000000,1.00000000,0.46900009,1,2.00000000,0.99753948,0.10731952,1.00000000,1,0,0
formal_train,10010890,D0,3,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7,1.00000000,0.46927873,0.22009177,1,0.66666667,0.99395766,0.13632921,0.00000000,1,0,0
formal_train,10010890,D1,3,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7,1.00000000,0.46927873,0.22009177,1,0.66666667,0.99395766,0.13632921,0.00000000,1,0,0
formal_train,10010890,D2,3,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903,1.00000000,1.00000000,0.46900009,1,2.00000000,0.99753948,0.10731952,1.00000000,1,0,0
formal_train,10010890,D3_TFIDF,3,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903,1.00000000,1.00000000,0.46900009,1,2.00000000,0.99753948,0.10731952,1.00000000,1,0,0
formal_train,10010890,MMR,3,0.60000000,WMA_9d066002776c079d|171903|WMA_ad96a88167926acb,1.00000000,0.76536064,0.35895421,1,1.33333333,0.99540158,0.05943952,0.33333333,1,0,0
formal_train,10010890,B0,5,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb,1.00000000,0.86879492,0.56378846,1,1.60000000,0.99545761,0.09135048,0.60000000,1,0,0
formal_train,10010890,D0,5,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_cb67dd87f7d9b3a3|171903,1.00000000,0.61643363,0.40002325,1,1.20000000,0.99494565,0.10960079,0.30000000,1,0,0
formal_train,10010890,D1,5,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_cb67dd87f7d9b3a3|171903,1.00000000,0.61643363,0.40002325,1,1.20000000,0.99494565,0.10960079,0.30000000,1,0,0
formal_train,10010890,D2,5,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb,1.00000000,0.86879492,0.56378846,1,1.60000000,0.99545761,0.09135048,0.60000000,1,0,0
formal_train,10010890,D3_TFIDF,5,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb,1.00000000,0.86879492,0.56378846,1,1.60000000,0.99545761,0.09135048,0.60000000,1,0,0
formal_train,10010890,MMR,5,0.60000000,WMA_9d066002776c079d|171903|WMA_ad96a88167926acb|WMA_351982b9ac0e4acc|WMA_cb67dd87f7d9b3a3,1.00000000,0.83041990,0.53888569,1,1.60000000,0.99545761,0.09135048,0.60000000,1,0,0
formal_train,10010890,B0,7,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_366c2a2f80108070,1.00000000,0.79575039,0.63715238,1,1.42857143,0.99370450,0.14516497,0.47619048,1,0,0
formal_train,10010890,D0,7,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_366c2a2f80108070,1.00000000,0.68913418,0.55178544,1,1.42857143,0.99370450,0.14516497,0.47619048,1,0,0
formal_train,10010890,D1,7,,WMA_9d066002776c079d|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_366c2a2f80108070,1.00000000,0.68913418,0.55178544,1,1.42857143,0.99370450,0.14516497,0.47619048,1,0,0
formal_train,10010890,D2,7,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_366c2a2f80108070,1.00000000,0.79575039,0.63715238,1,1.42857143,0.99370450,0.14516497,0.47619048,1,0,0
formal_train,10010890,D3_TFIDF,7,,WMA_9d066002776c079d|WMA_cb67dd87f7d9b3a3|171903|WMA_351982b9ac0e4acc|WMA_ad96a88167926acb|WMA_80362ea1fe27abb7|WMA_366c2a2f80108070,1.00000000,0.79575039,0.63715238,1,1.42857143,0.99370450,0.14516497,0.47619048,1,0,0
formal_train,10010890,MMR,7,0.60000000,WMA_9d066002776c079d|171903|WMA_ad96a88167926acb|WMA_351982b9ac0e4acc|WMA_cb67dd87f7d9b3a3|WMA_80362ea1fe27abb7|WMA_41b2efda22140768,1.00000000,0.76464891,0.61224961,1,1.42857143,0.99341819,0.11173690,0.47619048,1,0,0
formal_train,10031096,B0,3,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,D0,3,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,D1,3,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,D2,3,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,D3_TFIDF,3,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,MMR,3,0.60000000,WMA_11853d561b187e4c|WMA_6eec4f05a9d5c728|WMA_32ecb186b65aa370,1.00000000,1.00000000,0.46900009,2,2.00000000,0.98934825,0.09693160,1.00000000,1,1,1
formal_train,10031096,B0,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,1.00000000,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1,1,1
formal_train,10031096,D0,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,1.00000000,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1,1,1
formal_train,10031096,D1,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,1.00000000,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1,1,1
formal_train,10031096,D2,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,1.00000000,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1,1,1
formal_train,10031096,D3_TFIDF,5,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9,1.00000000,1.00000000,0.64893158,2,2.00000000,0.98109498,0.13736978,1.00000000,1,1,1
formal_train,10031096,MMR,5,0.60000000,WMA_11853d561b187e4c|WMA_6eec4f05a9d5c728|WMA_32ecb186b65aa370|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d,1.00000000,1.00000000,0.64893158,2,2.00000000,0.97305671,0.11243412,1.00000000,1,1,1
formal_train,10031096,B0,7,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_775e87726e29442f,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96463291,0.15608271,1.00000000,1,1,1
formal_train,10031096,D0,7,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_775e87726e29442f,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96463291,0.15608271,1.00000000,1,1,1
formal_train,10031096,D1,7,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_775e87726e29442f,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96463291,0.15608271,1.00000000,1,1,1
formal_train,10031096,D2,7,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_775e87726e29442f,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96463291,0.15608271,1.00000000,1,1,1
formal_train,10031096,D3_TFIDF,7,,WMA_11853d561b187e4c|WMA_32ecb186b65aa370|WMA_6eec4f05a9d5c728|WMA_02440532bfa3643f|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_775e87726e29442f,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96463291,0.15608271,1.00000000,1,1,1
formal_train,10031096,MMR,7,0.60000000,WMA_11853d561b187e4c|WMA_6eec4f05a9d5c728|WMA_32ecb186b65aa370|WMA_e620ebd66f6e77b9|WMA_e3edd4fee929e77d|WMA_02440532bfa3643f|WMA_266f27bf047dc9f3,1.00000000,1.00000000,0.80069377,2,2.00000000,0.96094767,0.13815027,1.00000000,1,1,1
formal_train,10042322,B0,3,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_0a9b1563ea70614c,1.00000000,1.00000000,0.46900009,5,2.00000000,0.99884590,0.14408006,0.52222222,1,1,1
formal_train,10042322,D0,3,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7,1.00000000,1.00000000,0.46900009,5,2.00000000,0.99535976,0.14251158,0.32777778,1,1,1
formal_train,10042322,D1,3,,WMA_3a7e73437e0a9fe9|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072,1.00000000,1.00000000,0.46900009,5,2.00000000,0.99535976,0.14251158,0.32777778,1,1,1
formal_train,10042322,D2,3,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb,0.80000000,1.00000000,0.46900009,4,2.00000000,0.99853563,0.37064672,0.66666667,0,1,1
formal_train,10042322,D3_TFIDF,3,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb,0.80000000,1.00000000,0.46900009,4,2.00000000,0.99853563,0.37064672,0.66666667,0,1,1
formal_train,10042322,MMR,3,0.60000000,WMA_3a7e73437e0a9fe9|WMA_0268a961f5fbf9cb|WMA_42bc92ed21db5072,1.00000000,1.00000000,0.46900009,5,2.00000000,0.99860154,0.13826045,0.52222222,1,1,1
formal_train,10042322,B0,5,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_0a9b1563ea70614c|WMA_82e93aa0a46757d5|WMA_0268a961f5fbf9cb,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99856586,0.27621201,0.60833333,1,1,1
formal_train,10042322,D0,5,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99648578,0.19054874,0.53166667,1,1,1
formal_train,10042322,D1,5,,WMA_3a7e73437e0a9fe9|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072|126459|WMA_0a9b1563ea70614c,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99603786,0.16302157,0.50500000,1,1,1
formal_train,10042322,D2,5,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99648578,0.19054874,0.53166667,1,1,1
formal_train,10042322,D3_TFIDF,5,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99648578,0.19054874,0.53166667,1,1,1
formal_train,10042322,MMR,5,0.60000000,WMA_3a7e73437e0a9fe9|WMA_0268a961f5fbf9cb|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7|86153,1.00000000,1.00000000,0.64893158,5,2.00000000,0.99512014,0.15940681,0.53166667,1,1,1
formal_train,10042322,B0,7,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_0a9b1563ea70614c|WMA_82e93aa0a46757d5|WMA_0268a961f5fbf9cb|126459|86153,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99715874,0.24265488,0.66190476,1,1,1
formal_train,10042322,D0,7,,WMA_3a7e73437e0a9fe9|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|86153|126459,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99567297,0.20750196,0.60555556,1,1,1
formal_train,10042322,D1,7,,WMA_3a7e73437e0a9fe9|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072|126459|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|86153,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99567297,0.20750196,0.60555556,1,1,1
formal_train,10042322,D2,7,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072|WMA_82e93aa0a46757d5|126459,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99664014,0.20879153,0.55873016,1,1,1
formal_train,10042322,D3_TFIDF,7,,WMA_3a7e73437e0a9fe9|WMA_0a9b1563ea70614c|WMA_0268a961f5fbf9cb|WMA_7c8008eaa89b0ce7|WMA_42bc92ed21db5072|WMA_82e93aa0a46757d5|126459,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99664014,0.20879153,0.55873016,1,1,1
formal_train,10042322,MMR,7,0.60000000,WMA_3a7e73437e0a9fe9|WMA_0268a961f5fbf9cb|WMA_42bc92ed21db5072|WMA_7c8008eaa89b0ce7|86153|126459|WMA_0a9b1563ea70614c,1.00000000,1.00000000,0.80069377,5,2.00000000,0.99567297,0.20750196,0.60555556,1,1,1
formal_train,10046266,B0,3,,WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba,0.60000000,1.00000000,0.46900009,3,2.00000000,0.99430273,0.23334100,0.77777778,0,1,1
formal_train,10046266,D0,3,,WMA_532df9ea912c8952|WMA_54d8c2ca47150f71|WMA_f2c7b129a8948e33,1.00000000,1.00000000,0.46900009,5,2.00000000,0.98674577,0.25884233,0.52222222,1,1,1
formal_train,10046266,D1,3,,WMA_c0240a974293f7cc|WMA_54d8c2ca47150f71|WMA_f2c7b129a8948e33,0.80000000,1.00000000,0.46900009,4,2.00000000,0.99008783,0.23063064,0.61111111,0,1,1
formal_train,10046266,D2,3,,WMA_c61ff9ea7449d9a8|WMA_532df9ea912c8952|WMA_f2c7b129a8948e33,0.80000000,1.00000000,0.46900009,4,2.00000000,0.99005018,0.20352732,0.44444444,0,1,1
formal_train,10046266,D3_TFIDF,3,,WMA_c61ff9ea7449d9a8|WMA_532df9ea912c8952|WMA_f2c7b129a8948e33,0.80000000,1.00000000,0.46900009,4,2.00000000,0.99005018,0.20352732,0.44444444,0,1,1
formal_train,10046266,MMR,3,0.60000000,WMA_f2c7b129a8948e33|WMA_c61ff9ea7449d9a8|WMA_70ce7949dbc7638d,0.60000000,1.00000000,0.46900009,3,2.00000000,0.99155543,0.15362967,0.55555556,0,1,1
formal_train,10046266,B0,5,,WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba|WMA_f9300e9f30ad6a2d|WMA_c61ff9ea7449d9a8,0.60000000,1.00000000,0.64893158,3,2.00000000,0.99272674,0.22014127,0.66666667,0,1,1
formal_train,10046266,D0,5,,WMA_532df9ea912c8952|WMA_54d8c2ca47150f71|WMA_f2c7b129a8948e33|WMA_f9300e9f30ad6a2d|WMA_c61ff9ea7449d9a8,1.00000000,1.00000000,0.64893158,5,2.00000000,0.98819257,0.22085726,0.51500000,1,1,1
formal_train,10046266,D1,5,,WMA_c0240a974293f7cc|WMA_54d8c2ca47150f71|WMA_f2c7b129a8948e33|WMA_f9300e9f30ad6a2d|WMA_c61ff9ea7449d9a8,0.80000000,1.00000000,0.64893158,4,2.00000000,0.99019780,0.21296873,0.57500000,0,1,1
formal_train,10046266,D2,5,,WMA_c61ff9ea7449d9a8|WMA_532df9ea912c8952|WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba,0.80000000,1.00000000,0.64893158,4,2.00000000,0.99128841,0.23401248,0.65000000,0,1,1
formal_train,10046266,D3_TFIDF,5,,WMA_c61ff9ea7449d9a8|WMA_532df9ea912c8952|WMA_f2c7b129a8948e33|WMA_c0240a974293f7cc|WMA_3d498fa45f8389ba,0.80000000,1.00000000,0.64893158,4,2.00000000,0.99128841,0.23401248,0.65000000,0,1,1
