split,qid,method,k,lambda,selected_doc_ids,selected_scores,demand_cov,ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,jaccard_vs_b0,replacement_count_vs_b0
formal_train,10076352,MMR,5,0.60000000,WMA_0290d41421a42155|129198|84244|WMA_e381b339d407b5b7|WMA_f815db6bb44a24c4,0.99950981;0.98823839;0.98709631;0.98342645;0.97987109,1.00000000,0.53888569,2,1.60000000,0.98762841,0.11232830,0.45000000,0.42857143,2
formal_train,10076352,D3_TFIDF,5,,WMA_0ea3fada1632eb9d|WMA_b0910b03c96ae328|WMA_0290d41421a42155|WMA_6d877f410a01a1f6|WMA_f815db6bb44a24c4,0.99950981;0.99439806;0.98823839;0.96189463;0.94222856,1.00000000,0.64893158,2,2.00000000,0.97725389,0.19255046,0.70000000,0.42857143,2
formal_train,10138964,B0,5,,WMA_57cb53de62c06c6d|WMA_0b5566193c85410c|115329|WMA_f8bc8196d9286080|160236,0.99912578;0.99883085;0.99695849;0.99604154;0.99344420,0.50000000,0.64893158,2,2.00000000,0.99688017,0.16852460,1.00000000,1.00000000,0
formal_train,10138964,MMR,5,0.60000000,WMA_57cb53de62c06c6d|WMA_0b5566193c85410c|160844|WMA_f8bc8196d9286080|115329,0.99912578;0.99883085;0.99695849;0.99604154;0.99217868,0.75000000,0.64893158,3,2.00000000,0.99662707,0.16147721,0.86666667,0.66666667,1
formal_train,10138964,D3_TFIDF,5,,160844|WMA_57cb53de62c06c6d|WMA_0b5566193c85410c|115329|96697,0.99912578;0.99883085;0.99695849;0.99217868;0.97733170,0.75000000,0.64893158,3,2.00000000,0.99288510,0.12809544,0.68333333,0.42857143,2
formal_train,10168026,B0,5,,WMA_f1b28ba26b5c6633|128176|157527|WMA_f5f756484fe0800a|187170,0.99991572;0.99972445;0.99948126;0.99844790;0.99789584,1.00000000,0.69302219,3,2.00000000,0.99909303,0.20910221,0.80000000,1.00000000,0
formal_train,10168026,MMR,5,0.60000000,WMA_f1b28ba26b5c6633|30675|186151|73986|187170,0.99991572;0.99789584;0.99235338;0.98963457;0.96168530,1.00000000,0.69302219,3,2.00000000,0.98829696,0.18726854,0.80000000,0.25000000,3
formal_train,10168026,D3_TFIDF,5,,WMA_f1b28ba26b5c6633|128176|157527|WMA_f5f756484fe0800a|187170,0.99991572;0.99972445;0.99948126;0.99844790;0.99789584,1.00000000,0.69302219,3,2.00000000,0.99909303,0.20910221,0.80000000,1.00000000,0
formal_train,10204716,B0,5,,WMA_f3fc63db503dc036|43967|85028|89260|WMA_64c5a65d6e7a37d1,0.99704581;0.97227871;0.96839374;0.96156406;0.92706513,0.50000000,0.58620214,1,1.60000000,0.96526949,0.18073152,0.60000000,1.00000000,0
formal_train,10204716,MMR,5,0.60000000,WMA_f3fc63db503dc036|85028|43967|WMA_64c5a65d6e7a37d1|89260,0.99704581;0.97227871;0.96839374;0.96156406;0.92706513,0.50000000,0.61931987,1,1.60000000,0.96526949,0.18073152,0.60000000,1.00000000,0
formal_train,10204716,D3_TFIDF,5,,WMA_64c5a65d6e7a37d1|WMA_bb34d7c84e653072|WMA_f3fc63db503dc036|43967|85028,0.99704581;0.97227871;0.96839374;0.92706513;0.80288380,1.00000000,0.63685473,2,1.60000000,0.93353344,0.15927841,0.45000000,0.66666667,1
formal_train,10218857,B0,5,,WMA_d73a054ba72f3c56|67191|WMA_23a05d6ad6de3487|27574|58359,0.99300838;0.90348268;0.86477160;0.70117438;0.63914341,0.50000000,0.81046163,1,2.00000000,0.82031609,0.15245724,1.00000000,1.00000000,0
formal_train,10218857,MMR,5,0.60000000,WMA_d73a054ba72f3c56|WMA_23a05d6ad6de3487|67191|27574|58359,0.99300838;0.90348268;0.86477160;0.70117438;0.63914341,0.50000000,0.81046163,1,2.00000000,0.82031609,0.15245724,1.00000000,1.00000000,0
formal_train,10218857,D3_TFIDF,5,,67191|WMA_d73a054ba72f3c56|WMA_6b3ed944ea41b4f2|27574|WMA_23a05d6ad6de3487,0.99300838;0.90348268;0.86477160;0.70117438;0.00003310,0.50000000,0.67302346,1,1.60000000,0.69249403,0.08405327,0.60000000,0.66666667,1
formal_train,10234276,B0,5,,WMA_b7249e9e3562dc1b|168090|WMA_f3c08ff04144f2ea|94917|34880,0.96934611;0.96895146;0.96488059;0.95889127;0.94476330,1.00000000,0.69302219,2,2.00000000,0.96136655,0.17788779,0.70000000,1.00000000,0
formal_train,10234276,MMR,5,0.60000000,WMA_b7249e9e3562dc1b|WMA_f3c08ff04144f2ea|94917|34880|168090,0.96934611;0.96895146;0.96488059;0.95889127;0.94476330,1.00000000,0.69302219,2,2.00000000,0.96136655,0.17788779,0.70000000,1.00000000,0
formal_train,10234276,D3_TFIDF,5,,WMA_f3c08ff04144f2ea|WMA_b7249e9e3562dc1b|168090|94917|34880,0.96934611;0.96895146;0.96488059;0.95889127;0.94476330,1.00000000,0.69302219,2,2.00000000,0.96136655,0.17788779,0.70000000,1.00000000,0
formal_train,10291955,B0,5,,WMA_1df8dbf10493dc8e|WMA_05c202c20531f22f|WMA_26a19d989f615a10|22902|30727,0.99735367;0.99692780;0.99522626;0.99339712;0.97504675,1.00000000,0.64893158,3,2.00000000,0.99159032,0.18714636,1.00000000,1.00000000,0
formal_train,10291955,MMR,5,0.60000000,WMA_1df8dbf10493dc8e|22902|WMA_05c202c20531f22f|WMA_26a19d989f615a10|WMA_45e6337e000dfedd,0.99735367;0.99692780;0.99522626;0.99339712;0.95962423,1.00000000,0.64893158,3,2.00000000,0.98850582,0.16028188,0.86666667,0.66666667,1
formal_train,10291955,D3_TFIDF,5,,30727|WMA_1df8dbf10493dc8e|WMA_05c202c20531f22f|WMA_26a19d989f615a10|22902,0.99735367;0.99692780;0.99522626;0.99339712;0.97504675,1.00000000,0.64893158,3,2.00000000,0.99159032,0.18714636,1.00000000,1.00000000,0
formal_train,10657134,B0,5,,144387|WMA_bec79db9b0139b03|144386|60656|180818,0.99936980;0.99847120;0.99846160;0.99547344;0.99392515,1.00000000,0.74579122,2,2.00000000,0.99714024,0.25086327,1.00000000,1.00000000,0
formal_train,10657134,MMR,5,0.60000000,144387|WMA_115b8cbe99e9fbbf|60656|144386|180818,0.99936980;0.99846160;0.99547344;0.99392515;0.99145377,1.00000000,0.74579122,2,2.00000000,0.99573675,0.21331302,1.00000000,0.66666667,1
formal_train,10657134,D3_TFIDF,5,,144387|WMA_bec79db9b0139b03|144386|180818|WMA_bd06a87a899f2485,0.99936980;0.99847120;0.99846160;0.99392515;0.94026607,1.00000000,0.74579122,2,2.00000000,0.98609877,0.23358251,1.00000000,0.66666667,1
formal_train,10697219,B0,5,,160994|WMA_136bd458f0fcc97f|WMA_a4b44af271b8aa56|WMA_cee7177dfd58d1e7|WMA_8f129d50b9dad061,0.99985695;0.99985182;0.99967933;0.99967241;0.99959499,1.00000000,0.64893158,3,2.00000000,0.99973110,0.19577004,0.80000000,1.00000000,0
formal_train,10697219,MMR,5,0.60000000,160994|WMA_f00a41365973ed47|WMA_7ec4f58edca4651c|WMA_95816027ac020bf3|WMA_cee7177dfd58d1e7,0.99985695;0.99967241;0.99942684;0.99678952;0.99673873,1.00000000,0.64893158,3,2.00000000,0.99849689,0.12523830,0.66666667,0.25000000,3
formal_train,10697219,D3_TFIDF,5,,WMA_a4b44af271b8aa56|WMA_7ec4f58edca4651c|160994|WMA_136bd458f0fcc97f|WMA_95816027ac020bf3,0.99985695;0.99985182;0.99967933;0.99942684;0.99678952,1.00000000,0.64893158,3,2.00000000,0.99912089,0.19094902,0.80000000,0.42857143,2
formal_train,10823468,B0,5,,WMA_1d4439fb4f32a459|WMA_24980d4cd16f6109|WMA_58cd3d30650d66f1|WMA_afb5781c40745830|WMA_2b2a68aeafa06f04,0.99286747;0.97843331;0.93452471;0.90924835;0.88391536,0.75000000,0.69302219,3,2.00000000,0.93979784,0.16912897,0.63333333,1.00000000,0
formal_train,10823468,MMR,5,0.60000000,WMA_1d4439fb4f32a459|WMA_58cd3d30650d66f1|WMA_afb5781c40745830|WMA_86fa36f638d1545b|WMA_2b2a68aeafa06f04,0.99286747;0.93452471;0.90924835;0.88391536;0.83300257,0.75000000,0.69302219,3,2.00000000,0.91071169,0.13603761,0.63333333,0.66666667,1
formal_train,10823468,D3_TFIDF,5,,WMA_1d4439fb4f32a459|WMA_0a6074a7bf883ed8|WMA_afb5781c40745830|WMA_24980d4cd16f6109|WMA_58cd3d30650d66f1,0.99286747;0.97843331;0.93452471;0.90924835;0.84288365,0.75000000,0.69302219,3,2.00000000,0.93159150,0.22621525,0.65000000,0.66666667,1
formal_train,11651033,B0,5,,WMA_091532e0d30ad4be|WMA_8721afb1a6a11b1b|43919|WMA_bde2260253e5ca72|WMA_9d42af93a0204f34,0.99941778;0.99617118;0.95918852;0.94795883;0.90526789,1.00000000,0.62384705,2,1.20000000,0.96160084,0.15317349,0.10000000,1.00000000,0
formal_train,11651033,MMR,5,0.60000000,WMA_091532e0d30ad4be|43919|WMA_8721afb1a6a11b1b|WMA_bde2260253e5ca72|195815,0.99941778;0.99617118;0.95918852;0.94795883;0.84946787,1.00000000,0.70128998,2,1.60000000,0.95044084,0.09918574,0.20000000,0.66666667,1
formal_train,11651033,D3_TFIDF,5,,WMA_091532e0d30ad4be|43919|WMA_8721afb1a6a11b1b|WMA_bde2260253e5ca72|WMA_9d42af93a0204f34,0.99941778;0.99617118;0.95918852;0.94795883;0.90526789,1.00000000,0.58422739,2,1.20000000,0.96160084,0.15317349,0.10000000,1.00000000,0
formal_train,12137765,B0,5,,WMA_6cff41f560338354|WMA_8675918f05c780fd|WMA_145aa78e6375d41b|WMA_f6b8e59486d119f3|WMA_e35f01359f06c0ff,0.99983668;0.99975592;0.99815100;0.98710573;0.98628342,1.00000000,0.22471947,1,0.80000000,0.99422655,0.16477315,0.10000000,1.00000000,0
formal_train,12137765,MMR,5,0.60000000,WMA_6cff41f560338354|WMA_295c8304bd4c45a9|WMA_145aa78e6375d41b|WMA_f6b8e59486d119f3|WMA_e35f01359f06c0ff,0.99983668;0.99815100;0.98710573;0.98628342;0.98298454,1.00000000,0.22471947,1,0.80000000,0.99087228,0.14616116,0.10000000,0.66666667,1
formal_train,12137765,D3_TFIDF,5,,WMA_fcc59f5d072643a1|WMA_6cff41f560338354|WMA_8675918f05c780fd|WMA_145aa78e6375d41b|WMA_f6b8e59486d119f3,0.99983668;0.99975592;0.99815100;0.98710573;0.13080220,1.00000000,0.38121301,1,0.80000000,0.82313031,0.20344095,0.10000000,0.66666667,1
formal_train,12252285,B0,5,,WMA_680cb88869b7319f|58827|6231|35995|54127,0.98728198;0.95994776;0.95994776;0.95038235;0.94500214,1.00000000,0.74579122,3,2.00000000,0.96051240,0.20668358,0.73333333,1.00000000,0
formal_train,12252285,MMR,5,0.60000000,WMA_680cb88869b7319f|58827|35995|54127|WMA_a06d73e07382424e,0.98728198;0.95994776;0.95038235;0.94500214;0.77564764,1.00000000,0.74579122,3,2.00000000,0.92365237,0.15143453,0.73333333,0.66666667,1
formal_train,12252285,D3_TFIDF,5,,WMA_680cb88869b7319f|58827|6231|35995|54127,0.98728198;0.95994776;0.95994776;0.95038235;0.94500214,1.00000000,0.74579122,3,2.00000000,0.96051240,0.20668358,0.73333333,1.00000000,0
formal_train,12528631,B0,5,,WMA_359919b574a1b22c|WMA_eecbb88a52453fdb|WMA_2493ab3e10d6c24a|17096|WMA_5dc9bb8e63b34a0a,0.99824834;0.99265653;0.98711097;0.98341113;0.97119755,1.00000000,0.74579122,2,2.00000000,0.98652490,0.16701633,0.70000000,1.00000000,0
formal_train,12528631,MMR,5,0.60000000,WMA_359919b574a1b22c|WMA_5dc9bb8e63b34a0a|WMA_eecbb88a52453fdb|WMA_2493ab3e10d6c24a|17100,0.99824834;0.99265653;0.98711097;0.97119755;0.96815401,1.00000000,0.74579122,2,2.00000000,0.98347348,0.15568775,0.70000000,0.66666667,1
formal_train,12528631,D3_TFIDF,5,,WMA_359919b574a1b22c|WMA_eecbb88a52453fdb|WMA_2493ab3e10d6c24a|17096|WMA_5dc9bb8e63b34a0a,0.99824834;0.99265653;0.98711097;0.98341113;0.97119755,1.00000000,0.74579122,2,2.00000000,0.98652490,0.16701633,0.70000000,1.00000000,0
formal_train,12880872,B0,5,,WMA_a1deb781fe46c0e2|14864|WMA_05e49b6d3d7d1996|WMA_ed2ef2f1cd68bfd3|23127,0.97086459;0.91146809;0.90918940;0.90458459;0.89523941,1.00000000,0.69302219,2,2.00000000,0.91826922,0.04570271,0.60000000,1.00000000,0
formal_train,12880872,MMR,5,0.60000000,WMA_a1deb781fe46c0e2|WMA_ed2ef2f1cd68bfd3|14864|23127|WMA_05e49b6d3d7d1996,0.97086459;0.91146809;0.90918940;0.90458459;0.89523941,1.00000000,0.69302219,2,2.00000000,0.91826922,0.04570271,0.60000000,1.00000000,0
formal_train,12880872,D3_TFIDF,5,,WMA_13405dd4a27467a2|WMA_a1deb781fe46c0e2|14864|WMA_ed2ef2f1cd68bfd3|40154,0.97086459;0.91146809;0.90458459;0.86443591;0.75701845,1.00000000,0.69302219,2,2.00000000,0.88167433,0.05927973,0.50000000,0.42857143,2
formal_train,13001321,B0,5,,WMA_d076683383426471|WMA_4087532f2385980e|WMA_a11ad77c25b779e5|WMA_a1c7ec04c9ebe522|WMA_2123cf361a0d65b8,0.98680669;0.18153535;0.15016790;0.13817555;0.08918352,1.00000000,0.65082052,4,0.80000000,0.30917380,0.11365980,0.00000000,1.00000000,0
formal_train,13001321,MMR,5,0.60000000,WMA_d076683383426471|WMA_a1c7ec04c9ebe522|WMA_a11ad77c25b779e5|WMA_4087532f2385980e|WMA_41f2b82deebaa4ab,0.98680669;0.18153535;0.15016790;0.13817555;0.05894709,0.25000000,0.46927873,1,0.40000000,0.30312652,0.10673114,0.00000000,0.66666667,1
formal_train,13001321,D3_TFIDF,5,,WMA_d076683383426471|WMA_4087532f2385980e|WMA_a11ad77c25b779e5|WMA_a1c7ec04c9ebe522|WMA_2123cf361a0d65b8,0.98680669;0.18153535;0.15016790;0.13817555;0.08918352,1.00000000,0.65082052,4,0.80000000,0.30917380,0.11365980,0.00000000,1.00000000,0
formal_train,13600484,B0,5,,WMA_f36c98b439b5ef9b|WMA_b70dbf81851bfc96|WMA_597e4e1f5c2e0dcd|WMA_e83e3cf1d93f7d2c|WMA_dee74fa5f0e69098,0.99795902;0.94604152;0.88187850;0.87092948;0.81442481,1.00000000,0.64893158,2,2.00000000,0.90224667,0.27950986,0.50000000,1.00000000,0
formal_train,13600484,MMR,5,0.60000000,WMA_f36c98b439b5ef9b|WMA_b70dbf81851bfc96|WMA_597e4e1f5c2e0dcd|76371|96325,0.99795902;0.94604152;0.88187850;0.79822463;0.68172967,1.00000000,0.64893158,2,2.00000000,0.86116667,0.13032857,0.50000000,0.42857143,2
formal_train,13600484,D3_TFIDF,5,,76371|WMA_f36c98b439b5ef9b|WMA_b70dbf81851bfc96|WMA_597e4e1f5c2e0dcd|WMA_e83e3cf1d93f7d2c,0.99795902;0.94604152;0.88187850;0.87092948;0.79822463,1.00000000,0.64893158,2,2.00000000,0.89900663,0.19224066,0.50000000,0.66666667,1
formal_train,13618490,B0,5,,WMA_35eb5cf5e797768c|WMA_8e62067844cfc901|166149|WMA_204c3a29a771cedb|WMA_4d3b43bf2c6c91df,0.99994409;0.99695611;0.98589885;0.97838724;0.97803062,0.66666667,0.64893158,2,2.00000000,0.98784338,0.15576429,1.00000000,1.00000000,0
formal_train,13618490,MMR,5,0.60000000,WMA_35eb5cf5e797768c|166149|WMA_4d3b43bf2c6c91df|WMA_204c3a29a771cedb|WMA_c10f599929d97bba,0.99994409;0.98589885;0.97838724;0.97803062;0.91598308,0.66666667,0.64893158,2,2.00000000,0.97164878,0.12545867,1.00000000,0.66666667,1
formal_train,13618490,D3_TFIDF,5,,166149|WMA_35eb5cf5e797768c|WMA_8e62067844cfc901|WMA_204c3a29a771cedb|WMA_da24be8f0a98cd78,0.99994409;0.99695611;0.98589885;0.97838724;0.77669489,0.66666667,0.64893158,2,2.00000000,0.94757624,0.13909371,1.00000000,0.66666667,1
formal_train,13664970,B0,5,,WMA_e20443a41d847204|WMA_ff9f384a4fcc453a|WMA_35e2859bdaeb0b8f|WMA_3ed6dc15b82f6f7e|WMA_7564b87d54af08ab,0.99996507;0.99973732;0.99952197;0.99614328;0.97513765,1.00000000,0.64893158,4,2.00000000,0.99410106,0.21003300,0.55000000,1.00000000,0
formal_train,13664970,MMR,5,0.60000000,WMA_e20443a41d847204|WMA_3ed6dc15b82f6f7e|WMA_35e2859bdaeb0b8f|WMA_b77a23a9c48d78b4|WMA_7564b87d54af08ab,0.99996507;0.99952197;0.99614328;0.97513765;0.96756279,1.00000000,0.64893158,4,2.00000000,0.98766615,0.19830206,0.59166667,0.66666667,1
formal_train,13664970,D3_TFIDF,5,,WMA_e20443a41d847204|WMA_ff9f384a4fcc453a|WMA_35e2859bdaeb0b8f|WMA_3ed6dc15b82f6f7e|WMA_7564b87d54af08ab,0.99996507;0.99973732;0.99952197;0.99614328;0.97513765,1.00000000,0.64893158,4,2.00000000,0.99410106,0.21003300,0.55000000,1.00000000,0
formal_train,14184255,B0,5,,WMA_1eb135d6cf04eda4|WMA_b96cc68eb4b5bd8a|WMA_bfc71c508935f138|WMA_ce2a18eab72a945a|110344,0.99962783;0.99933630;0.99812263;0.98807156;0.95090413,0.66666667,0.61828850,2,1.20000000,0.98721249,0.22325475,0.10000000,1.00000000,0
formal_train,14184255,MMR,5,0.60000000,WMA_1eb135d6cf04eda4|WMA_bfc71c508935f138|WMA_ce2a18eab72a945a|110344|130654,0.99962783;0.99812263;0.98807156;0.95090413;0.77524906,0.66666667,0.73282862,2,1.20000000,0.94239504,0.13080559,0.10000000,0.66666667,1
formal_train,14184255,D3_TFIDF,5,,WMA_1eb135d6cf04eda4|WMA_bfc71c508935f138|WMA_b96cc68eb4b5bd8a|WMA_ce2a18eab72a945a|110344,0.99962783;0.99933630;0.99812263;0.98807156;0.95090413,0.66666667,0.67973105,2,1.20000000,0.98721249,0.22325475,0.10000000,1.00000000,0
formal_train,14189907,B0,5,,WMA_a897b260e8aa1484|WMA_d069892f93505c90|WMA_8168cda72ba44cab|WMA_f51998229278ea36|WMA_5ec1c337bbf2b058,0.99977177;0.99963248;0.98448968;0.97470313;0.96228302,0.75000000,0.64893158,3,2.00000000,0.98417602,0.11601442,0.53333333,1.00000000,0
formal_train,14189907,MMR,5,0.60000000,WMA_a897b260e8aa1484|WMA_8168cda72ba44cab|WMA_f51998229278ea36|WMA_5ec1c337bbf2b058|WMA_07bf2c8b43d03a15,0.99977177;0.98448968;0.97470313;0.96228302;0.92594540,0.75000000,0.64893158,3,2.00000000,0.96943860,0.07944473,0.53333333,0.66666667,1
formal_train,14189907,D3_TFIDF,5,,WMA_a897b260e8aa1484|WMA_8168cda72ba44cab|WMA_d069892f93505c90|WMA_f51998229278ea36|WMA_5ec1c337bbf2b058,0.99977177;0.99963248;0.98448968;0.97470313;0.96228302,0.75000000,0.64893158,3,2.00000000,0.98417602,0.11601442,0.53333333,1.00000000,0
formal_train,14791065,B0,5,,WMA_a224c1d7966b303d|WMA_0545e8f829573997|WMA_61145c6091784a8f|96353|WMA_b81a440dba4be699,0.99985754;0.99428695;0.99314225;0.96972722;0.96784467,1.00000000,0.46900009,2,1.20000000,0.98497173,0.19673067,0.30000000,1.00000000,0
formal_train,14791065,MMR,5,0.60000000,WMA_a224c1d7966b303d|WMA_61145c6091784a8f|109872|96353|WMA_b81a440dba4be699,0.99985754;0.99314225;0.96972722;0.96784467;0.95685017,1.00000000,0.46900009,2,1.20000000,0.97748437,0.11445157,0.20000000,0.66666667,1
formal_train,14791065,D3_TFIDF,5,,94915|WMA_a224c1d7966b303d|WMA_0545e8f829573997|WMA_61145c6091784a8f|96353,0.99985754;0.99428695;0.99314225;0.96972722;0.84446508,1.00000000,0.56378846,2,1.60000000,0.96029581,0.19186564,0.60000000,0.66666667,1
formal_train,14966708,B0,5,,WMA_c4bcdd7bff7497f9|WMA_9abebba296376dd7|WMA_a99c926303eceb17|WMA_7f681709d31235a0|WMA_ac57d23c83d108cf,0.98633504;0.96160364;0.95050353;0.94638479;0.91984677,1.00000000,0.63685473,1,1.60000000,0.95293475,0.16440875,0.60000000,1.00000000,0
formal_train,14966708,MMR,5,0.60000000,WMA_c4bcdd7bff7497f9|WMA_9abebba296376dd7|WMA_a99c926303eceb17|WMA_16f0c12866c8db0e|WMA_ac57d23c83d108cf,0.98633504;0.96160364;0.95050353;0.91984677;0.89445931,1.00000000,0.63685473,1,1.60000000,0.94254966,0.12784926,0.60000000,0.66666667,1
formal_train,14966708,D3_TFIDF,5,,WMA_c4bcdd7bff7497f9|WMA_9abebba296376dd7|WMA_a99c926303eceb17|WMA_7f681709d31235a0|WMA_ac57d23c83d108cf,0.98633504;0.96160364;0.95050353;0.94638479;0.91984677,1.00000000,0.63685473,1,1.60000000,0.95293475,0.16440875,0.60000000,1.00000000,0
formal_train,15015069,B0,5,,164335|61024|63676|81040|83530,0.99764663;0.99764663;0.99764663;0.99764663;0.99764663,0.60000000,0.64893158,3,2.00000000,0.99764663,1.00000000,1.00000000,1.00000000,0
